max_trim,max_sem,desv_sem,prom_bim,max_mes_anterior,prom_mes_anterior,prom_sem,max_bim,mejor_gestion,prom_trim,pc_cant_moras_30_ult_12_meses,desv_trim,nro_gestiones,desv_bim,pc_cant_moras_30_ult_3_meses,dh_cant_entradas,pc_tiem_1er_prod_abierto_total,pc_cant_moras_60_ult_12_meses,gestiones_eficaces,pc_transaccional,dh_max_dia_entradas,pc_cupo_entidad,pc_cuotas_como_ppal,dh_val_entradas,pc_cant_moras_90_ult_12_meses,dh_max_dia_salidas,pc_cant_moras_60_ult_3_meses,pc_cuota_tarjeta_de_credito,cp_inicial_menos_saldo,pc_peor_estado_act_cta_aho,dia_pago,cp_cuotas_falta,pcons_tarjeta_de_credito,pc_cifin,gestiones_prod,pcons_vehiculos_sufi,cluster_recod,dh_avg_dia_retiros_d,dmi_max_egreso_diario,cpc_max_proc_deuda,dh_cant_otros_d,pc_cont_30_lt_12m_tot_sf,pc_cant_mora90_ult_12m_total,dmi_max_ingreso_diario,dh_val_otros_d,pc_ingreso_final,dh_cant_pagos_d,dmi_ingreso_total_mes,dh_val_pagos_d,pc_gasto_familiar,pc_cuotas_pagadas,cpc_avg_proc_deuda,cpc_sum_proc_deuda,dc_porc_prod_sin_mora,pc_ingreso_rutina_con_techo,pc_saldo_prom3_tdc_entidad,dh_cant_salidas,dh_min_dia_pagos_d,pc_ingreso_por_rutina,dh_min_dia_pago_tarj_d,cp_nro_cuota,dmi_egreso_total_mes,cp_valor_inicial,dh_max_dia_otros_d,cp_cuota_sobre_saldo,dc_sum_valor_inicial,dh_cant_pago_tarj_d,dh_max_dia_pagos_d,cp_saldo_sobre_inicial,pc_mediana_nom3,cp_esta_cuota_otro,dh_max_dia_retiros_d,dh_avg_dia_entradas,dh_avg_dia_pagos_d,dh_val_salidas,dc_sum_valor_cuota,dh_min_dia_tras_d,cp_porc_valorcuot_ing,pc_ind_ajustado,dh_val_retiros_d,pc_tiem_lt_prod_abie_total,marca_info_cifin_decode,dh_max_dia_pago_tarj_d,dc_valobli_ing,pc_cantidad_tdc_entidad,dh_min_dia_otros_d,dc_cant_obligaciones,cpc_sum_nro_cuota,cpc_avg_nro_cuota,cpc_max_nro_cuota,cp_saldo,cp_cuota_sobre_inicial,cpc_sum_saldo,cp_porc_saldo_ing,gsm_mejor_gestion,dh_min_dia_nomina_c,dh_max_dia_nomina_c,cp_valor_cuota,cpc_nro_cuota_tdc,gsm_prom_dias_gest,pc_cuota_no_rot_ent,dh_val_nomina_c,banca_completa,cpc_saldo_sobre_ing,dh_min_dia_pago_cred_d,cpc_saldo_tdc,pc_cuota_de_consumo,dh_cant_tras_d,dh_max_dia_comisio_d,cpc_avg_saldo,dc_max_saldo_sf,dh_val_pago_tarj_d,pc_productos_no_rotativos_entidad,pc_saldo_no_rot_ent,pc_vi_no_rotativos_entidad,dh_min_dia_entradas,pcons_hipotecario_vivienda,gsm_mejor_gestion_3m,dh_avg_dia_salidas,llave,segmentoestructural,subsegmentoestructural,anhomes_ciclo
5,5,2.041241452,2.5,5,5,0.833333333,5,0,1.666666667,0,2.886751346,0,3.535533906,0,20,0,0,0,4495542,30,0,0,16794317,0,30,0,0,0,0,15,0,0,0,0,0,6,23.33333333,4000000,1.130780612,2,0,0,4000106,841210,4495542,1,16794317,614326,1146363.21,438368.6115,1.130780612,1.130780612,0,4495542,0,23,20,4495542,0,0,11475899,0,30,0,0,0,20,0,0,0,30,8.553872054,2.222222222,11475899,0,2,0,2012830.991,5961208,0,2,0,0,0,23,0,137,137,137,0,0,5540825,0,0,0,0,0,137,0,0,0,0,0.830957558,20,5540825,0,1,30,5540825,0,0,0,0,0,1,0,0,10.04131054,38395,PYME,Pyme Pequena,201707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3211184.587,31,0,0,1900840,0,24,0,0,0,0,15,0,0,0,0,0,6,13.44444444,2936515,1.133062245,5,0,0,1500000,2384300,3211184.587,1,1900840,594386,818852.0696,438368.6115,1.133062245,1.133062245,0,3211184.587,0,25,15,3211184.587,0,0,9064578,0,17,0,0,0,15,0,0,0,24,5.94047619,2.142857143,9064578,0,0,0,1325057.596,6050000,0,0,0,0,0,3,0,136,136,136,0,0,5552005,0,0,0,0,0,136,0,0,0,0,0.832634223,15,5552005,0,0,24,5552005,0,0,0,0,0,2,0,0,7.506349206,38396,PYME,Pyme Pequena,201706
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3211184.587,31,0,0,1900840,0,24,0,0,0,0,15,0,0,0,0,0,6,13.44444444,2936515,1.133062245,5,0,0,1500000,2384300,3211184.587,1,1900840,594386,818852.0696,438368.6115,1.133062245,1.133062245,0,3211184.587,0,25,15,3211184.587,0,0,9064578,0,17,0,0,0,15,0,0,0,24,5.94047619,2.142857143,9064578,0,0,0,1325057.596,6050000,0,0,0,0,0,3,0,136,136,136,0,0,5552005,0,0,0,0,0,136,0,0,0,0,0.832634223,15,5552005,0,0,24,5552005,0,0,0,0,0,2,0,0,7.506349206,38398,PYME,Pyme Pequena,201706
5,5,2.886751346,2.5,5,5,1.666666667,5,0,1.666666667,0,2.886751346,0,3.535533906,0,20,0,0,0,4495542,30,0,0,16794317,0,30,0,0,0,0,15,0,0,0,0,0,6,23.33333333,4000000,1.130780612,2,0,0,4000106,841210,4495542,1,16794317,614326,1146363.21,438368.6115,1.130780612,1.130780612,0,4495542,0,23,20,4495542,0,0,11475899,0,30,0,0,0,20,0,0,0,30,8.553872054,2.222222222,11475899,0,2,0,2012830.991,5961208,0,2,0,0,0,23,0,137,137,137,0,0,5540825,0,0,0,0,0,137,0,0,0,0,0.830957558,20,5540825,0,1,30,5540825,0,0,0,0,0,1,0,0,10.04131054,38401,PYME,Pyme Pequena,201707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4495542,30,0,0,16794317,0,30,0,0,0,0,15,0,0,0,0,0,6,23.33333333,4000000,1.130780612,2,0,0,4000106,841210,4495542,1,16794317,614326,1146363.21,438368.6115,1.130780612,1.130780612,0,4495542,0,23,20,4495542,0,0,11475899,0,30,0,0,0,20,0,0,0,30,8.553872054,2.222222222,11475899,0,2,0,2012830.991,5961208,0,2,0,0,0,23,0,137,137,137,0,0,5540825,0,0,0,0,0,137,0,0,0,0,0.830957558,20,5540825,0,1,30,5540825,0,0,0,0,0,1,0,0,10.04131054,38402,PYME,Pyme Pequena,201707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4495542,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4495542,0,0,0,1146363.21,438368.6115,0,0,0,4495542,0,0,0,4495542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012830.991,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38403,PYME,Pyme Pequena,201609
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3211184.587,31,0,0,1900840,0,24,0,0,0,0,3,0,1,0,0,0,6,13.44444444,2936515,1.133062245,5,0,0,1500000,2384300,3211184.587,1,1900840,594386,818852.0696,438368.6115,1.133062245,1.133062245,0,3211184.587,0,25,15,3211184.587,0,0,9064578,0,17,0,0,0,15,0,0,0,24,5.94047619,2.142857143,9064578,0,0,0,1325057.596,6050000,0,0,0,0,0,3,0,136,136,136,0,0,5552005,0,0,0,0,0,136,0,0,0,0,0.832634223,15,5552005,0,0,24,5552005,0,0,0,0,0,2,0,0,7.506349206,38405,PYME,Pyme Pequena,201706
57,57,11.14899099,43,57,57,38.5,57,0,43.66666667,3,14.04753834,0,19.79898987,0,0,0,1,0,5058932.85,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5058932.85,0,0,0,1290027.877,343000,0,0,0,5058932.85,0,0,0,5058932.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400358.541,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38406,PYME,Pyme Pequena,201608
42,42,5.750362307,35.5,42,42,31.66666667,42,0,33,3,7.810249676,0,9.192388155,0,0,0,1,0,5058932.85,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5058932.85,0,0,0,1290027.877,343000,0,0,0,5058932.85,0,0,0,5058932.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400358.541,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38407,PYME,Pyme Pequena,201607
42,42,10.59087658,26,10,10,28.16666667,42,0,27,3,16.09347694,0,22.627417,0,0,0,1,0,5058932.85,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5058932.85,0,0,0,1290027.877,343000,0,0,0,5058932.85,0,0,0,5058932.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400358.541,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38408,PYME,Pyme Pequena,201608
37,37,15.50161282,34,37,37,16.5,37,0,29,3,9.16515139,0,4.242640687,0,0,0,1,0,5058932.85,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5058932.85,0,0,0,1290027.877,343000,0,0,0,5058932.85,0,0,0,5058932.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400358.541,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38418,PYME,Pyme Pequena,201607
